early_access,genres_encoded,metascore,año,price
False,1,82,2011,4.99
False,1,82,2011,4.99
False,1,82,2011,4.99
False,1,82,2011,4.99
False,1,82,2011,4.99
False,1,82,2011,4.99
False,1,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,10,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,5,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,9,82,2011,4.99
False,8,86,2009,19.99
False,8,81,2009,19.99
False,8,81,2009,19.99
False,8,74,2010,19.99
False,8,74,2010,19.99
False,8,74,2010,19.99
False,8,74,2010,19.99
False,1,76,2011,5.99
False,1,76,2011,5.99
False,1,76,2011,5.99
False,1,76,2011,5.99
False,1,76,2011,5.99
False,1,76,2011,5.99
False,3,76,2011,5.99
False,3,76,2011,5.99
False,3,76,2011,5.99
False,3,76,2011,5.99
False,3,76,2011,5.99
False,3,76,2011,5.99
False,5,76,2011,5.99
False,5,76,2011,5.99
False,5,76,2011,5.99
False,5,76,2011,5.99
False,5,76,2011,5.99
False,5,76,2011,5.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,76,2011,19.99
False,6,65,2011,9.99
False,10,65,2011,9.99
False,10,77,2011,9.99
False,10,77,2011,9.99
False,10,77,2011,9.99
False,10,77,2011,9.99
False,1,70,2011,19.99
False,1,70,2011,19.99
False,1,70,2011,19.99
False,1,70,2011,19.99
False,1,70,2011,19.99
False,1,70,2011,19.99
False,3,70,2011,9.99
False,3,70,2011,9.99
False,3,70,2011,9.99
False,5,70,2011,9.99
False,5,70,2011,9.99
False,5,70,2011,9.99
False,8,70,2011,9.99
False,8,70,2011,9.99
False,8,70,2011,9.99
False,10,70,2011,9.99
False,10,70,2011,9.99
False,10,70,2011,9.99
False,6,84,2013,0.0
False,6,84,2013,0.0
